clientid,dpid,customerId,pan,accountNumber
40000066,IN000067,900000065,AHOWG4915J,1.00E+14
40000067,IN000068,900000066,AHOWG4916J,1.00E+14
40000068,IN000069,900000067,AHOWG4917J,1.00E+14
40000069,IN000070,900000068,AHOWG4918J,1.00E+14
40000070,IN000071,900000069,AHOWG4919J,1.00E+14
40000071,IN000072,900000070,AHOWG4920J,1.00E+14
40000072,IN000073,900000071,AHOWG4921J,1.00E+14
40000073,IN000074,900000072,AHOWG4922J,1.00E+14
40000074,IN000075,900000073,AHOWG4923J,1.00E+14
40000075,IN000076,900000074,AHOWG4924J,1.00E+14
40000076,IN000077,900000075,AHOWG4925J,1.00E+14
40000077,IN000078,900000076,AHOWG4926J,1.00E+14
40000078,IN000079,900000077,AHOWG4927J,1.00E+14
40000079,IN000080,900000078,AHOWG4928J,1.00E+14
40000080,IN000081,900000079,AHOWG4929J,1.00E+14
40000081,IN000082,900000080,AHOWG4930J,1.00E+14
40000082,IN000083,900000081,AHOWG4931J,1.00E+14
40000083,IN000084,900000082,AHOWG4932J,1.00E+14
40000084,IN000085,900000083,AHOWG4933J,1.00E+14
40000085,IN000086,900000084,AHOWG4934J,1.00E+14
40000086,IN000087,900000085,AHOWG4935J,1.00E+14
40000087,IN000088,900000086,AHOWG4936J,1.00E+14
40000088,IN000089,900000087,AHOWG4937J,1.00E+14
40000089,IN000090,900000088,AHOWG4938J,1.00E+14
40000090,IN000091,900000089,AHOWG4939J,1.00E+14
40000091,IN000092,900000090,AHOWG4940J,1.00E+14
40000092,IN000093,900000091,AHOWG4941J,1.00E+14
40000093,IN000094,900000092,AHOWG4942J,1.00E+14
40000094,IN000095,900000093,AHOWG4943J,1.00E+14
40000095,IN000096,900000094,AHOWG4944J,1.00E+14
40000096,IN000097,900000095,AHOWG4945J,1.00E+14
40000097,IN000098,900000096,AHOWG4946J,1.00E+14
40000098,IN000099,900000097,AHOWG4947J,1.00E+14
40000099,IN000100,900000098,AHOWG4948J,1.00E+14
40000100,IN000101,900000099,AHOWG4949J,1.00E+14
40000101,IN000102,900000100,AHOWG4950J,1.00E+14
40000102,IN000103,900000101,AHOWG4951J,1.00E+14
40000103,IN000104,900000102,AHOWG4952J,1.00E+14
40000104,IN000105,900000103,AHOWG4953J,1.00E+14
40000105,IN000106,900000104,AHOWG4954J,1.00E+14
40000106,IN000107,900000105,AHOWG4955J,1.00E+14
40000107,IN000108,900000106,AHOWG4956J,1.00E+14
40000108,IN000109,900000107,AHOWG4957J,1.00E+14
40000109,IN000110,900000108,AHOWG4958J,1.00E+14
40000110,IN000111,900000109,AHOWG4959J,1.00E+14
40000111,IN000112,900000110,AHOWG4960J,1.00E+14
40000112,IN000113,900000111,AHOWG4961J,1.00E+14
40000113,IN000114,900000112,AHOWG4962J,1.00E+14
40000114,IN000115,900000113,AHOWG4963J,1.00E+14
40000115,IN000116,900000114,AHOWG4964J,1.00E+14
40000116,IN000117,900000115,AHOWG4965J,1.00E+14
40000117,IN000118,900000116,AHOWG4966J,1.00E+14
40000118,IN000119,900000117,AHOWG4967J,1.00E+14
40000119,IN000120,900000118,AHOWG4968J,1.00E+14
40000120,IN000121,900000119,AHOWG4969J,1.00E+14
40000121,IN000122,900000120,AHOWG4970J,1.00E+14
40000122,IN000123,900000121,AHOWG4971J,1.00E+14
40000123,IN000124,900000122,AHOWG4972J,1.00E+14
40000124,IN000125,900000123,AHOWG4973J,1.00E+14
40000125,IN000126,900000124,AHOWG4974J,1.00E+14
40000126,IN000127,900000125,AHOWG4975J,1.00E+14
40000127,IN000128,900000126,AHOWG4976J,1.00E+14
40000128,IN000129,900000127,AHOWG4977J,1.00E+14
40000129,IN000130,900000128,AHOWG4978J,1.00E+14
40000130,IN000131,900000129,AHOWG4979J,1.00E+14
40000131,IN000132,900000130,AHOWG4980J,1.00E+14
40000132,IN000133,900000131,AHOWG4981J,1.00E+14
40000133,IN000134,900000132,AHOWG4982J,1.00E+14
40000134,IN000135,900000133,AHOWG4983J,1.00E+14
40000135,IN000136,900000134,AHOWG4984J,1.00E+14
40000136,IN000137,900000135,AHOWG4985J,1.00E+14
40000137,IN000138,900000136,AHOWG4986J,1.00E+14
40000138,IN000139,900000137,AHOWG4987J,1.00E+14
40000139,IN000140,900000138,AHOWG4988J,1.00E+14
40000140,IN000141,900000139,AHOWG4989J,1.00E+14
40000141,IN000142,900000140,AHOWG4990J,1.00E+14
40000142,IN000143,900000141,AHOWG4991J,1.00E+14
40000143,IN000144,900000142,AHOWG4992J,1.00E+14
40000144,IN000145,900000143,AHOWG4993J,1.00E+14
40000145,IN000146,900000144,AHOWG4994J,1.00E+14
40000146,IN000147,900000145,AHOWG4995J,1.00E+14
40000147,IN000148,900000146,AHOWG4996J,1.00E+14
40000148,IN000149,900000147,AHOWG4997J,1.00E+14
40000149,IN000150,900000148,AHOWG4998J,1.00E+14
40000150,IN000151,900000149,AHOWG4999J,1.00E+14
40000151,IN000152,900000150,AHOWG5000J,1.00E+14
40000152,IN000153,900000151,AHOWG5001J,1.00E+14
40000153,IN000154,900000152,AHOWG5002J,1.00E+14
40000154,IN000155,900000153,AHOWG5003J,1.00E+14
40000155,IN000156,900000154,AHOWG5004J,1.00E+14
40000156,IN000157,900000155,AHOWG5005J,1.00E+14
40000157,IN000158,900000156,AHOWG5006J,1.00E+14
40000158,IN000159,900000157,AHOWG5007J,1.00E+14
40000159,IN000160,900000158,AHOWG5008J,1.00E+14
40000160,IN000161,900000159,AHOWG5009J,1.00E+14
40000161,IN000162,900000160,AHOWG5010J,1.00E+14
40000162,IN000163,900000161,AHOWG5011J,1.00E+14
40000163,IN000164,900000162,AHOWG5012J,1.00E+14
40000164,IN000165,900000163,AHOWG5013J,1.00E+14
40000165,IN000166,900000164,AHOWG5014J,1.00E+14
40000166,IN000167,900000165,AHOWG5015J,1.00E+14
40000167,IN000168,900000166,AHOWG5016J,1.00E+14
40000168,IN000169,900000167,AHOWG5017J,1.00E+14
40000169,IN000170,900000168,AHOWG5018J,1.00E+14
40000170,IN000171,900000169,AHOWG5019J,1.00E+14
40000171,IN000172,900000170,AHOWG5020J,1.00E+14
40000172,IN000173,900000171,AHOWG5021J,1.00E+14
40000173,IN000174,900000172,AHOWG5022J,1.00E+14
40000174,IN000175,900000173,AHOWG5023J,1.00E+14
40000175,IN000176,900000174,AHOWG5024J,1.00E+14
40000176,IN000177,900000175,AHOWG5025J,1.00E+14
40000177,IN000178,900000176,AHOWG5026J,1.00E+14
40000178,IN000179,900000177,AHOWG5027J,1.00E+14
40000179,IN000180,900000178,AHOWG5028J,1.00E+14
40000180,IN000181,900000179,AHOWG5029J,1.00E+14
40000181,IN000182,900000180,AHOWG5030J,1.00E+14
40000182,IN000183,900000181,AHOWG5031J,1.00E+14
40000183,IN000184,900000182,AHOWG5032J,1.00E+14
40000184,IN000185,900000183,AHOWG5033J,1.00E+14
40000185,IN000186,900000184,AHOWG5034J,1.00E+14
40000186,IN000187,900000185,AHOWG5035J,1.00E+14
40000187,IN000188,900000186,AHOWG5036J,1.00E+14
40000188,IN000189,900000187,AHOWG5037J,1.00E+14
40000189,IN000190,900000188,AHOWG5038J,1.00E+14
40000190,IN000191,900000189,AHOWG5039J,1.00E+14
40000191,IN000192,900000190,AHOWG5040J,1.00E+14
40000192,IN000193,900000191,AHOWG5041J,1.00E+14
40000193,IN000194,900000192,AHOWG5042J,1.00E+14
40000194,IN000195,900000193,AHOWG5043J,1.00E+14
40000195,IN000196,900000194,AHOWG5044J,1.00E+14
40000196,IN000197,900000195,AHOWG5045J,1.00E+14
40000197,IN000198,900000196,AHOWG5046J,1.00E+14
40000198,IN000199,900000197,AHOWG5047J,1.00E+14
40000199,IN000200,900000198,AHOWG5048J,1.00E+14
40000200,IN000201,900000199,AHOWG5049J,1.00E+14
40000201,IN000202,900000200,AHOWG5050J,1.00E+14
40000202,IN000203,900000201,AHOWG5051J,1.00E+14
40000203,IN000204,900000202,AHOWG5052J,1.00E+14
40000204,IN000205,900000203,AHOWG5053J,1.00E+14
40000205,IN000206,900000204,AHOWG5054J,1.00E+14
40000206,IN000207,900000205,AHOWG5055J,1.00E+14
40000207,IN000208,900000206,AHOWG5056J,1.00E+14
40000208,IN000209,900000207,AHOWG5057J,1.00E+14
40000209,IN000210,900000208,AHOWG5058J,1.00E+14
40000210,IN000211,900000209,AHOWG5059J,1.00E+14
40000211,IN000212,900000210,AHOWG5060J,1.00E+14
40000212,IN000213,900000211,AHOWG5061J,1.00E+14
40000213,IN000214,900000212,AHOWG5062J,1.00E+14
40000214,IN000215,900000213,AHOWG5063J,1.00E+14
40000215,IN000216,900000214,AHOWG5064J,1.00E+14
40000216,IN000217,900000215,AHOWG5065J,1.00E+14
40000217,IN000218,900000216,AHOWG5066J,1.00E+14
40000218,IN000219,900000217,AHOWG5067J,1.00E+14
40000219,IN000220,900000218,AHOWG5068J,1.00E+14
40000220,IN000221,900000219,AHOWG5069J,1.00E+14
40000221,IN000222,900000220,AHOWG5070J,1.00E+14
40000222,IN000223,900000221,AHOWG5071J,1.00E+14
40000223,IN000224,900000222,AHOWG5072J,1.00E+14
40000224,IN000225,900000223,AHOWG5073J,1.00E+14
40000225,IN000226,900000224,AHOWG5074J,1.00E+14
40000226,IN000227,900000225,AHOWG5075J,1.00E+14
40000227,IN000228,900000226,AHOWG5076J,1.00E+14
40000228,IN000229,900000227,AHOWG5077J,1.00E+14
40000229,IN000230,900000228,AHOWG5078J,1.00E+14
40000230,IN000231,900000229,AHOWG5079J,1.00E+14
40000231,IN000232,900000230,AHOWG5080J,1.00E+14
40000232,IN000233,900000231,AHOWG5081J,1.00E+14
40000233,IN000234,900000232,AHOWG5082J,1.00E+14
40000234,IN000235,900000233,AHOWG5083J,1.00E+14
40000235,IN000236,900000234,AHOWG5084J,1.00E+14
40000236,IN000237,900000235,AHOWG5085J,1.00E+14
40000237,IN000238,900000236,AHOWG5086J,1.00E+14
40000238,IN000239,900000237,AHOWG5087J,1.00E+14
40000239,IN000240,900000238,AHOWG5088J,1.00E+14
40000240,IN000241,900000239,AHOWG5089J,1.00E+14
40000241,IN000242,900000240,AHOWG5090J,1.00E+14
40000242,IN000243,900000241,AHOWG5091J,1.00E+14
40000243,IN000244,900000242,AHOWG5092J,1.00E+14
40000244,IN000245,900000243,AHOWG5093J,1.00E+14
40000245,IN000246,900000244,AHOWG5094J,1.00E+14
40000246,IN000247,900000245,AHOWG5095J,1.00E+14
40000247,IN000248,900000246,AHOWG5096J,1.00E+14
40000248,IN000249,900000247,AHOWG5097J,1.00E+14
40000249,IN000250,900000248,AHOWG5098J,1.00E+14
40000250,IN000251,900000249,AHOWG5099J,1.00E+14
40000251,IN000252,900000250,AHOWG5100J,1.00E+14
40000252,IN000253,900000251,AHOWG5101J,1.00E+14
40000253,IN000254,900000252,AHOWG5102J,1.00E+14
40000254,IN000255,900000253,AHOWG5103J,1.00E+14
40000255,IN000256,900000254,AHOWG5104J,1.00E+14
40000256,IN000257,900000255,AHOWG5105J,1.00E+14
40000257,IN000258,900000256,AHOWG5106J,1.00E+14
40000258,IN000259,900000257,AHOWG5107J,1.00E+14
40000259,IN000260,900000258,AHOWG5108J,1.00E+14
40000260,IN000261,900000259,AHOWG5109J,1.00E+14
40000261,IN000262,900000260,AHOWG5110J,1.00E+14
40000262,IN000263,900000261,AHOWG5111J,1.00E+14
40000263,IN000264,900000262,AHOWG5112J,1.00E+14
40000264,IN000265,900000263,AHOWG5113J,1.00E+14
40000265,IN000266,900000264,AHOWG5114J,1.00E+14
40000266,IN000267,900000265,AHOWG5115J,1.00E+14
40000267,IN000268,900000266,AHOWG5116J,1.00E+14
40000268,IN000269,900000267,AHOWG5117J,1.00E+14
40000269,IN000270,900000268,AHOWG5118J,1.00E+14
40000270,IN000271,900000269,AHOWG5119J,1.00E+14
40000271,IN000272,900000270,AHOWG5120J,1.00E+14
40000272,IN000273,900000271,AHOWG5121J,1.00E+14
40000273,IN000274,900000272,AHOWG5122J,1.00E+14
40000274,IN000275,900000273,AHOWG5123J,1.00E+14
40000275,IN000276,900000274,AHOWG5124J,1.00E+14
40000276,IN000277,900000275,AHOWG5125J,1.00E+14
40000277,IN000278,900000276,AHOWG5126J,1.00E+14
40000278,IN000279,900000277,AHOWG5127J,1.00E+14
40000279,IN000280,900000278,AHOWG5128J,1.00E+14
40000280,IN000281,900000279,AHOWG5129J,1.00E+14
40000281,IN000282,900000280,AHOWG5130J,1.00E+14
40000282,IN000283,900000281,AHOWG5131J,1.00E+14
40000283,IN000284,900000282,AHOWG5132J,1.00E+14
40000284,IN000285,900000283,AHOWG5133J,1.00E+14
40000285,IN000286,900000284,AHOWG5134J,1.00E+14
40000286,IN000287,900000285,AHOWG5135J,1.00E+14
40000287,IN000288,900000286,AHOWG5136J,1.00E+14
40000288,IN000289,900000287,AHOWG5137J,1.00E+14
40000289,IN000290,900000288,AHOWG5138J,1.00E+14
40000290,IN000291,900000289,AHOWG5139J,1.00E+14
40000291,IN000292,900000290,AHOWG5140J,1.00E+14
40000292,IN000293,900000291,AHOWG5141J,1.00E+14
40000293,IN000294,900000292,AHOWG5142J,1.00E+14
40000294,IN000295,900000293,AHOWG5143J,1.00E+14
40000295,IN000296,900000294,AHOWG5144J,1.00E+14
40000296,IN000297,900000295,AHOWG5145J,1.00E+14
40000297,IN000298,900000296,AHOWG5146J,1.00E+14
40000298,IN000299,900000297,AHOWG5147J,1.00E+14
40000299,IN000300,900000298,AHOWG5148J,1.00E+14
40000300,IN000301,900000299,AHOWG5149J,1.00E+14
40000301,IN000302,900000300,AHOWG5150J,1.00E+14
40000302,IN000303,900000301,AHOWG5151J,1.00E+14
40000303,IN000304,900000302,AHOWG5152J,1.00E+14
40000304,IN000305,900000303,AHOWG5153J,1.00E+14
40000305,IN000306,900000304,AHOWG5154J,1.00E+14
40000306,IN000307,900000305,AHOWG5155J,1.00E+14
40000307,IN000308,900000306,AHOWG5156J,1.00E+14
40000308,IN000309,900000307,AHOWG5157J,1.00E+14
40000309,IN000310,900000308,AHOWG5158J,1.00E+14
40000310,IN000311,900000309,AHOWG5159J,1.00E+14
40000311,IN000312,900000310,AHOWG5160J,1.00E+14
40000312,IN000313,900000311,AHOWG5161J,1.00E+14
40000313,IN000314,900000312,AHOWG5162J,1.00E+14
40000314,IN000315,900000313,AHOWG5163J,1.00E+14
40000315,IN000316,900000314,AHOWG5164J,1.00E+14
40000316,IN000317,900000315,AHOWG5165J,1.00E+14
40000317,IN000318,900000316,AHOWG5166J,1.00E+14
40000318,IN000319,900000317,AHOWG5167J,1.00E+14
40000319,IN000320,900000318,AHOWG5168J,1.00E+14
40000320,IN000321,900000319,AHOWG5169J,1.00E+14
40000321,IN000322,900000320,AHOWG5170J,1.00E+14
40000322,IN000323,900000321,AHOWG5171J,1.00E+14
40000323,IN000324,900000322,AHOWG5172J,1.00E+14
40000324,IN000325,900000323,AHOWG5173J,1.00E+14
40000325,IN000326,900000324,AHOWG5174J,1.00E+14
40000326,IN000327,900000325,AHOWG5175J,1.00E+14
40000327,IN000328,900000326,AHOWG5176J,1.00E+14
40000328,IN000329,900000327,AHOWG5177J,1.00E+14
40000329,IN000330,900000328,AHOWG5178J,1.00E+14
40000330,IN000331,900000329,AHOWG5179J,1.00E+14
40000331,IN000332,900000330,AHOWG5180J,1.00E+14
40000332,IN000333,900000331,AHOWG5181J,1.00E+14
40000333,IN000334,900000332,AHOWG5182J,1.00E+14
40000334,IN000335,900000333,AHOWG5183J,1.00E+14
40000335,IN000336,900000334,AHOWG5184J,1.00E+14
40000336,IN000337,900000335,AHOWG5185J,1.00E+14
40000337,IN000338,900000336,AHOWG5186J,1.00E+14
40000338,IN000339,900000337,AHOWG5187J,1.00E+14
40000339,IN000340,900000338,AHOWG5188J,1.00E+14
40000340,IN000341,900000339,AHOWG5189J,1.00E+14
40000341,IN000342,900000340,AHOWG5190J,1.00E+14
40000342,IN000343,900000341,AHOWG5191J,1.00E+14
40000343,IN000344,900000342,AHOWG5192J,1.00E+14
40000344,IN000345,900000343,AHOWG5193J,1.00E+14
40000345,IN000346,900000344,AHOWG5194J,1.00E+14
40000346,IN000347,900000345,AHOWG5195J,1.00E+14
40000347,IN000348,900000346,AHOWG5196J,1.00E+14
40000348,IN000349,900000347,AHOWG5197J,1.00E+14
40000349,IN000350,900000348,AHOWG5198J,1.00E+14
40000350,IN000351,900000349,AHOWG5199J,1.00E+14
40000351,IN000352,900000350,AHOWG5200J,1.00E+14
40000352,IN000353,900000351,AHOWG5201J,1.00E+14
40000353,IN000354,900000352,AHOWG5202J,1.00E+14
40000354,IN000355,900000353,AHOWG5203J,1.00E+14
40000355,IN000356,900000354,AHOWG5204J,1.00E+14
40000356,IN000357,900000355,AHOWG5205J,1.00E+14
40000357,IN000358,900000356,AHOWG5206J,1.00E+14
40000358,IN000359,900000357,AHOWG5207J,1.00E+14
40000359,IN000360,900000358,AHOWG5208J,1.00E+14
40000360,IN000361,900000359,AHOWG5209J,1.00E+14
40000361,IN000362,900000360,AHOWG5210J,1.00E+14
40000362,IN000363,900000361,AHOWG5211J,1.00E+14
40000363,IN000364,900000362,AHOWG5212J,1.00E+14
40000364,IN000365,900000363,AHOWG5213J,1.00E+14
40000365,IN000366,900000364,AHOWG5214J,1.00E+14
40000366,IN000367,900000365,AHOWG5215J,1.00E+14
40000367,IN000368,900000366,AHOWG5216J,1.00E+14
40000368,IN000369,900000367,AHOWG5217J,1.00E+14
40000369,IN000370,900000368,AHOWG5218J,1.00E+14
40000370,IN000371,900000369,AHOWG5219J,1.00E+14
40000371,IN000372,900000370,AHOWG5220J,1.00E+14
40000372,IN000373,900000371,AHOWG5221J,1.00E+14
40000373,IN000374,900000372,AHOWG5222J,1.00E+14
40000374,IN000375,900000373,AHOWG5223J,1.00E+14
40000375,IN000376,900000374,AHOWG5224J,1.00E+14
40000376,IN000377,900000375,AHOWG5225J,1.00E+14
40000377,IN000378,900000376,AHOWG5226J,1.00E+14
40000378,IN000379,900000377,AHOWG5227J,1.00E+14
40000379,IN000380,900000378,AHOWG5228J,1.00E+14
40000380,IN000381,900000379,AHOWG5229J,1.00E+14
40000381,IN000382,900000380,AHOWG5230J,1.00E+14
40000382,IN000383,900000381,AHOWG5231J,1.00E+14
40000383,IN000384,900000382,AHOWG5232J,1.00E+14
40000384,IN000385,900000383,AHOWG5233J,1.00E+14
40000385,IN000386,900000384,AHOWG5234J,1.00E+14
40000386,IN000387,900000385,AHOWG5235J,1.00E+14
40000387,IN000388,900000386,AHOWG5236J,1.00E+14
40000388,IN000389,900000387,AHOWG5237J,1.00E+14
40000389,IN000390,900000388,AHOWG5238J,1.00E+14
40000390,IN000391,900000389,AHOWG5239J,1.00E+14
40000391,IN000392,900000390,AHOWG5240J,1.00E+14
40000392,IN000393,900000391,AHOWG5241J,1.00E+14
40000393,IN000394,900000392,AHOWG5242J,1.00E+14
40000394,IN000395,900000393,AHOWG5243J,1.00E+14
40000395,IN000396,900000394,AHOWG5244J,1.00E+14
40000396,IN000397,900000395,AHOWG5245J,1.00E+14
40000397,IN000398,900000396,AHOWG5246J,1.00E+14
40000398,IN000399,900000397,AHOWG5247J,1.00E+14
40000399,IN000400,900000398,AHOWG5248J,1.00E+14
40000400,IN000401,900000399,AHOWG5249J,1.00E+14
40000401,IN000402,900000400,AHOWG5250J,1.00E+14
40000402,IN000403,900000401,AHOWG5251J,1.00E+14
40000403,IN000404,900000402,AHOWG5252J,1.00E+14
40000404,IN000405,900000403,AHOWG5253J,1.00E+14
40000405,IN000406,900000404,AHOWG5254J,1.00E+14
40000406,IN000407,900000405,AHOWG5255J,1.00E+14
40000407,IN000408,900000406,AHOWG5256J,1.00E+14
40000408,IN000409,900000407,AHOWG5257J,1.00E+14
40000409,IN000410,900000408,AHOWG5258J,1.00E+14
40000410,IN000411,900000409,AHOWG5259J,1.00E+14
40000411,IN000412,900000410,AHOWG5260J,1.00E+14
40000412,IN000413,900000411,AHOWG5261J,1.00E+14
40000413,IN000414,900000412,AHOWG5262J,1.00E+14
40000414,IN000415,900000413,AHOWG5263J,1.00E+14
40000415,IN000416,900000414,AHOWG5264J,1.00E+14
40000416,IN000417,900000415,AHOWG5265J,1.00E+14
40000417,IN000418,900000416,AHOWG5266J,1.00E+14
40000418,IN000419,900000417,AHOWG5267J,1.00E+14
40000419,IN000420,900000418,AHOWG5268J,1.00E+14
40000420,IN000421,900000419,AHOWG5269J,1.00E+14
40000421,IN000422,900000420,AHOWG5270J,1.00E+14
40000422,IN000423,900000421,AHOWG5271J,1.00E+14
40000423,IN000424,900000422,AHOWG5272J,1.00E+14
40000424,IN000425,900000423,AHOWG5273J,1.00E+14
40000425,IN000426,900000424,AHOWG5274J,1.00E+14
40000426,IN000427,900000425,AHOWG5275J,1.00E+14
40000427,IN000428,900000426,AHOWG5276J,1.00E+14
40000428,IN000429,900000427,AHOWG5277J,1.00E+14
40000429,IN000430,900000428,AHOWG5278J,1.00E+14
40000430,IN000431,900000429,AHOWG5279J,1.00E+14
40000431,IN000432,900000430,AHOWG5280J,1.00E+14
40000432,IN000433,900000431,AHOWG5281J,1.00E+14
40000433,IN000434,900000432,AHOWG5282J,1.00E+14
40000434,IN000435,900000433,AHOWG5283J,1.00E+14
40000435,IN000436,900000434,AHOWG5284J,1.00E+14
40000436,IN000437,900000435,AHOWG5285J,1.00E+14
40000437,IN000438,900000436,AHOWG5286J,1.00E+14
40000438,IN000439,900000437,AHOWG5287J,1.00E+14
40000439,IN000440,900000438,AHOWG5288J,1.00E+14
40000440,IN000441,900000439,AHOWG5289J,1.00E+14
40000441,IN000442,900000440,AHOWG5290J,1.00E+14
40000442,IN000443,900000441,AHOWG5291J,1.00E+14
40000443,IN000444,900000442,AHOWG5292J,1.00E+14
40000444,IN000445,900000443,AHOWG5293J,1.00E+14
40000445,IN000446,900000444,AHOWG5294J,1.00E+14
40000446,IN000447,900000445,AHOWG5295J,1.00E+14
40000447,IN000448,900000446,AHOWG5296J,1.00E+14
40000448,IN000449,900000447,AHOWG5297J,1.00E+14
40000449,IN000450,900000448,AHOWG5298J,1.00E+14
40000450,IN000451,900000449,AHOWG5299J,1.00E+14
40000451,IN000452,900000450,AHOWG5300J,1.00E+14
40000452,IN000453,900000451,AHOWG5301J,1.00E+14
40000453,IN000454,900000452,AHOWG5302J,1.00E+14
40000454,IN000455,900000453,AHOWG5303J,1.00E+14
40000455,IN000456,900000454,AHOWG5304J,1.00E+14
40000456,IN000457,900000455,AHOWG5305J,1.00E+14
40000457,IN000458,900000456,AHOWG5306J,1.00E+14
40000458,IN000459,900000457,AHOWG5307J,1.00E+14
40000459,IN000460,900000458,AHOWG5308J,1.00E+14
40000460,IN000461,900000459,AHOWG5309J,1.00E+14
40000461,IN000462,900000460,AHOWG5310J,1.00E+14
40000462,IN000463,900000461,AHOWG5311J,1.00E+14
40000463,IN000464,900000462,AHOWG5312J,1.00E+14
40000464,IN000465,900000463,AHOWG5313J,1.00E+14
40000465,IN000466,900000464,AHOWG5314J,1.00E+14
40000466,IN000467,900000465,AHOWG5315J,1.00E+14
40000467,IN000468,900000466,AHOWG5316J,1.00E+14
40000468,IN000469,900000467,AHOWG5317J,1.00E+14
40000469,IN000470,900000468,AHOWG5318J,1.00E+14
40000470,IN000471,900000469,AHOWG5319J,1.00E+14
40000471,IN000472,900000470,AHOWG5320J,1.00E+14
40000472,IN000473,900000471,AHOWG5321J,1.00E+14
40000473,IN000474,900000472,AHOWG5322J,1.00E+14
40000474,IN000475,900000473,AHOWG5323J,1.00E+14
40000475,IN000476,900000474,AHOWG5324J,1.00E+14
40000476,IN000477,900000475,AHOWG5325J,1.00E+14
40000477,IN000478,900000476,AHOWG5326J,1.00E+14
40000478,IN000479,900000477,AHOWG5327J,1.00E+14
40000479,IN000480,900000478,AHOWG5328J,1.00E+14
40000480,IN000481,900000479,AHOWG5329J,1.00E+14
40000481,IN000482,900000480,AHOWG5330J,1.00E+14
